s,mccs
-1769.504761,0.002254206308
-1769.141724,0.002253383004
-1768.231445,0.002241393438
-1723.288696,0.001560928266
-1715.648315,0.001575728371
-1684.922729,0.001377860493
-1669.363037,0.0001847409865
-1662.863159,0.0007013987294
-1658.531982,0
-1656.514771,2.385650224e-08
-1655.807007,3.370702541e-08
-1641.191528,0.0006170967564
-1629.256836,1.962630792e-07
-1626.792358,0.0002368537668
-1612.795654,4.232286996e-07
-1607.220581,0.0001547746039
-1594.971924,2.081210762e-06
-1591.54248,5.258251121e-06
-1582.557007,0.0001016461734
-1578.046387,2.2932287e-06
-1575.751709,0.001021456786
-1572.909912,1.531390135e-07
-1565.203125,1.648281016e-07
-1555.425171,6.795455904e-06
-1545.60376,3.095859492e-05
-1542.563354,9.889835575e-07
-1540.522583,7.549925262e-07
-1528.095459,4.586860987e-06
-1519.715576,2.141463378e-05
-1518.444214,5.98980568e-06
-1518.401367,1.069431988e-06
-1515.933228,4.43916293e-07
-1513.98999,8.44857997e-07
-1508.422119,1.19735725e-05
-1506.614868,0
-1506.29895,4.180269058e-07
-1503.3125,9.011061286e-07
-1498.529419,1.01551719e-05
-1491.01355,6.681315396e-07
-1475.907593,3.188490284e-07
-1468.19043,6.730508221e-06
-1457.964111,9.457189836e-06
-1457.394897,1.938893871e-05
-1450.250977,0
-1442.290527,0.006017850359
-1439.820801,2.091496263e-05
-1431.259521,0
-1421.794312,1.772807175e-05
-1420.768188,2.672047833e-07
-1420.080566,2.523766816e-07
-1406.934937,0
-1404.972534,0.002119882123
-1401.602295,0
-1394.280151,1.636110613e-05
-1385.487427,1.795669656e-05
-1373.101074,1.831626308e-05
-1369.741577,1.645838565e-05
-1346.490112,0
-1333.617432,0.01446976413
-1322.102051,0
-1303.099609,0
-1300.239502,0
-1276.52417,0.02348605161
-1258.737915,0
-1222.670044,0
-1179.463745,0.03860117339
-1152.605225,0.1284411603
-1148.325806,0.1101489965
-1143.793579,0.08637824768
-1140.979004,0.1200861249
-1140.766235,0.1119490872
-1139.476807,0.06621521139
-1138.907227,0.1409674072
-1123.666504,0.1464372498
-1122.020386,0.1476418299
-1098.967773,0.1447789388
-1098.142822,0.08783800185
-1096.133179,0.1371754487
-1090.675781,0
-1062.089111,0.08258909428
-1040.364502,0
-1025.839478,0.07159305634
-962.8059692,0.0620805359
-929.1346436,0.05933378861
-870.6066895,0
-855.3262329,0.05635592644
-826.4599609,0.05045250025
-799.8458252,0.04828931564
-791.8624878,0.04794475064
-786.9433594,0.04738581441
-769.331604,0
-748.0203247,0.02035233214
-736.6952515,0
-715.9177246,0.05246797487
-710.8255615,0.05221772892
-710.0089722,0
-709.2127686,0.05210453981
-668.3397217,0.04731009746
-666.0025024,0.03943256324
-663.5530396,0.04949843057
-658.8652344,0.04870331218
-641.102356,0.03972649713
-632.6012573,0.03897108873
-620.845459,0.03721462339
-620.5567627,0.04222733839
-615.7055664,0.03804411999
-613.5825806,0.04523182121
-613.3190918,0.04521187921
-613.2908325,0.04272994979
-613.2715454,0.04520182816
-606.1056519,0.03316569851
-596.7126465,0.03705692152
-595.9960938,0.03136339791
-595.8618774,0.03118884453
-593.8345337,0.03109432713
-588.9072266,0.03388945726
-586.4060059,0.03639645164
-580.6990967,0.03529122302
-578.5333862,0.02952471448
-567.1362915,0.03389355007
-560.5618896,0.02809795335
-560.5123291,0.02806278514
-559.8670044,0.02801936344
-543.31427,0.02682157333
-539.3548584,0.02214168262
-538.1670532,0.02213041868
-536.6776123,0.03127374593
-536.5557251,0.02215691578
-531.6535645,0.02577981629
-531.5713501,0.02576425075
-531.3602295,0.02575165039
-529.4508057,0.02202068028
-522.2102661,0.02486725416
-519.6586304,0.02982262634
-508.9627686,0.02240004284
-507.8936157,0.0234230725
-501.4717712,0.02392825061
-499.8515625,0.02410813925
-498.1604919,0.02830008794
-493.5451965,0.02751833729
-492.4642944,0.02296322501
-492.0821533,0.02396956326
-491.9129639,0.02383162241
-491.0033569,0.02342367807
-490.7390442,0.02404410212
-485.151947,0.02487859465
-481.0782166,0.02672745963
-478.3854065,0.02542951232
