s,thickness_m
-1769.504761,0.002193827182
-1769.141724,0.002190951025
-1768.231445,0.002364649437
-1723.288696,0.009533154778
-1715.648315,0.009543494321
-1684.922729,0.009476959705
-1669.363037,0.009408647195
-1662.863159,9.1024107e-05
-1658.531982,0
-1656.514771,3.03e-09
-1655.807007,4.278e-09
-1641.191528,8.0117701e-05
-1629.256836,2.4903e-08
-1626.792358,0.009711673483
-1612.795654,5.3746e-08
-1607.220581,1.9478897e-05
-1594.971924,2.64055e-07
-1591.54248,6.67038e-07
-1582.557007,1.278473e-05
-1578.046387,2.90983e-07
-1575.751709,0.009145931341
-1572.909912,1.9437e-08
-1565.203125,2.0922e-08
-1555.425171,8.62804e-07
-1545.60376,3.905802e-06
-1542.563354,1.25389e-07
-1540.522583,9.591e-08
-1528.095459,5.82187e-07
-1519.715576,2.703825e-06
-1518.444214,7.59751e-07
-1518.401367,1.35589e-07
-1515.933228,5.6421e-08
-1513.98999,1.07235e-07
-1508.422119,1.517343e-06
-1506.614868,0
-1506.29895,5.3131e-08
-1503.3125,1.14374e-07
-1498.529419,1.288511e-06
-1491.01355,8.4876e-08
-1475.907593,4.0491e-08
-1468.19043,8.54601e-07
-1457.964111,1.20133e-06
-1457.394897,2.454888e-06
-1450.250977,0
-1442.290527,0.007732216734
-1439.820801,2.647604e-06
-1431.259521,0
-1421.794312,2.252425e-06
-1420.768188,3.3916e-08
-1420.080566,3.2049e-08
-1406.934937,0
-1404.972534,0.00793153327
-1401.602295,0
-1394.280151,2.075872e-06
-1385.487427,2.281527e-06
-1373.101074,2.326128e-06
-1369.741577,2.088594e-06
-1346.490112,0
-1333.617432,0.006604083348
-1322.102051,0
-1303.099609,0
-1300.239502,0
-1276.52417,0.006100641098
-1258.737915,0
-1222.670044,0
-1179.463745,0.004973074421
-1152.605225,0.003774082288
-1148.325806,0.003976065665
-1143.793579,0.00420113001
-1140.979004,0.003328195075
-1140.766235,0.00331706414
-1139.476807,0.004446118604
-1138.907227,0.0035919738
-1123.666504,0.00345553644
-1122.020386,0.003487249603
-1098.967773,0.003369426588
-1098.142822,0.003237177618
-1096.133179,0.003357488895
-1090.675781,0
-1062.089111,0.003145255148
-1040.364502,0
-1025.839478,0.003018993186
-962.8059692,0.002837702399
-929.1346436,0.002734238515
-870.6066895,0.00217736396
-855.3262329,0.003340777243
-826.4599609,0.002421149518
-799.8458252,0.00234121643
-791.8624878,0.002320010681
-786.9433594,0.002304444322
-769.331604,0.003431272926
-748.0203247,0.002973065712
-736.6952515,0.003143757349
-715.9177246,0.002610482275
-710.8255615,0.002575143939
-710.0089722,0.002851294586
-709.2127686,0.002565741073
-668.3397217,0.002251076512
-666.0025024,0.001969182165
-663.5530396,0.002320836531
-658.8652344,0.002284499584
-641.102356,0.002079789527
-632.6012573,0.002049226081
-620.845459,0.001851918059
-620.5567627,0.002059461083
-615.7055664,0.001992456382
-613.5825806,0.002076264471
-613.3190918,0.00207527983
-613.2908325,0.002046306152
-613.2715454,0.002075045835
-606.1056519,0.001903420081
-596.7126465,0.001927544246
-595.9960938,0.001858922304
-595.8618774,0.001856980263
-593.8345337,0.001850463566
-588.9072266,0.001865867176
-586.4060059,0.001889736392
-580.6990967,0.001859666198
-578.5333862,0.001793311094
-567.1362915,0.001706309966
-560.5618896,0.001726942719
-560.5123291,0.001726206508
-559.8670044,0.00172407506
-543.31427,0.001666089287
-539.3548584,0.001597280381
-538.1670532,0.001593965921
-536.6776123,0.001618091832
-536.5557251,0.001589653082
-531.6535645,0.001622302225
-531.5713501,0.001621888252
-531.3602295,0.001621157746
-529.4508057,0.001578221563
-522.2102661,0.001591144362
-519.6586304,0.001565941493
-508.9627686,0.001529400935
-507.8936157,0.001520459307
-501.4717712,0.001523906598
-499.8515625,0.00152233406
-498.1604919,0.001497369027
-493.5451965,0.001480033854
-492.4642944,0.001492064679
-492.0821533,0.001471220283
-491.9129639,0.001471841242
-491.0033569,0.00149181881
-490.7390442,0.001467314782
-485.151947,0.001451024669
-481.0782166,0.001443169895
-478.3854065,0.001431913231
