s,mccs
-2063.176025,0.02075343946
-2060.84375,0.02043700731
-2046.745728,0.01910076649
-1948.346558,4.015171898e-06
-1945.407227,0.02963169825
-1927.950073,3.493617339e-06
-1914.912964,4.281958146e-06
-1874.298584,0.005972902556
-1838.271729,1.599940209e-06
-1828.418945,0.001178463901
-1827.926025,0.002515043617
-1825.759766,0.002283845217
-1798.686279,0.002672129477
-1795.349976,4.794911809e-05
-1792.82605,0.002600856188
-1790.151978,0.003901769581
-1783.407227,0.0005404459492
-1770.22522,0.0001129956951
-1764.033447,0.001395421764
-1756.135254,5.148331839e-05
-1754.863037,6.749282511e-06
-1747.04541,3.839683109e-05
-1745.523804,0.0003249657997
-1742.597534,8.358860987e-05
-1741.453125,4.889705531e-05
-1737.761108,0.0007755652018
-1720.075928,1.659207773e-06
-1718.53186,1.496023916e-06
-1706.315796,1.746801196e-06
-1699.183228,0.001324579268
-1693.829468,2.14245142e-06
-1683.44812,1.138762332e-05
-1657.992065,0
-1651.198853,0.00181354429
-1650.410522,1.403139013e-07
-1644.830688,5.766816143e-08
-1592.259644,4.741929746e-05
-1572.762329,2.369103139e-05
-1549.831177,4.663612855e-05
-1533.408813,0.06011359377
-1531.025513,1.051195815e-06
-1521.73645,0.06501041547
-1518.818848,1.077458894e-06
-1515.233032,9.101195815e-07
-1514.744995,0
-1513.881836,9.388490284e-07
-1498.571777,0
-1494.64209,0
-1491.492554,7.266218236e-07
-1485.690186,0
-1467.491821,0
-1463.499146,0
-1460.061768,0
-1453.467285,0
-1433.256348,0
-1429.179199,0
-1423.148193,0
-1412.535889,0
-1379.787842,0
-1368.822754,0
-1356.307617,0
-1350.259888,0
-1346.103149,0
-1336.163452,0
-1333.383789,0.1267085941
-1302.984253,0
-1294.362549,0
-1288.74707,0.1415682425
-1275.806519,0
-1261.954224,0
-1226.5448,0.1684817526
-1220.261719,0.1722884118
-1211.881104,0.1826487838
-1208.555664,0.18188851
-1203.426514,0.1849495543
-1189.44812,0.1633002023
-1187.303223,0
-1166.44458,0
-1103.623901,0
-1076.313965,0
-1056.352905,0.1390218061
-1025.212891,0.1236272667
-1000.439209,0.1035843209
-980.5150146,0
-971.3375854,0.0819091035
-970.6157837,0.08159065105
-968.7503052,0.08138258605
-893.2120361,0
-832.9486694,0.07163288465
-814.8997192,0
-773.0161743,0.04795393161
-747.5085449,0.03780936126
-736.9400635,0.04612187463
-732.90625,0.06391694671
-730.1884766,0.03849980679
-728.6308594,0.03845263161
-728.5577393,0.03978139854
-725.3969727,0.03966739157
-710.4153442,0.04471789889
-703.8105469,0.03763348538
-703.6544189,0.03768685197
-696.6070557,0.0614907122
-683.3917236,0.04355701366
-681.9137573,0.05579980574
-679.4645996,0.04266928505
-678.0167847,0.04177073626
-675.579834,0.04196245438
-669.692627,0.04071467006
-667.6565552,0.0508907787
-663.333374,0.04085647054
-661.3791504,0.04912618344
-659.7681885,0.0370777858
-653.1151733,0.03702862339
-651.4276733,0.03192481211
-645.1989136,0.03181221813
-643.4360352,0.03256542351
-642.579895,0.03241638407
-641.2550659,0.03274487016
-638.6204224,0.03164823435
-638.0023804,0.03164839794
-636.7935181,0.03156232716
-636.0175171,0.03160506149
-635.2755127,0.04270645791
-633.1542358,0.03297344791
-631.7214355,0.03509539819
-629.0027466,0.03529038428
-627.038147,0.04130451465
-623.2057495,0.03131574245
-622.2796021,0.04107847055
-620.4593506,0
-618.5646973,0.03972693565
-614.8441162,0.03296526925
-607.6603394,0.03766408399
-607.3770142,0
-605.949707,0.03629800848
-605.0490112,0.03622951659
-605.0445557,0.03423315915
-604.9360352,0.03326892706
-604.9052124,0.03356017765
-604.8126831,0.03453676474
-602.6383057,0.03369539692
-602.1104126,0.03617849223
-602.0353394,0.03447529954
-601.8240967,0.03412678094
-600.8347778,0.03442285173
-595.5968628,0.03351526813
-594.8757324,0.03372782268
-593.9242554,0.03544613371
-560.3803711,0
